term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
dull,0.0014683905217761381,0.6598742066862107,20,2,0.06499886367159485,-0.023715198400659967,0,1,0,5,2,1,8,3,"Red Notice:8, Apex:5, Don't Look Up:3",부정평/실망/과대평가
lol,0.0014610241853201945,0.7137548457734106,21,13,0.09349984265243219,-0.04369414076789919,2,2,4,2,2,7,2,0,"GOAT:7, Everything Everywhere All at Once:4, KPop Demon Hunters:2",부정평/실망/과대평가
win,0.0014557561575165418,0.49452312862124037,28,2,0.08817394312150544,-0.041819111474016187,2,3,7,3,9,3,1,0,"F1 The Movie:9, Everything Everywhere All at Once:7, Whiplash:3",부정평/실망/과대평가
poorly,0.0014540562976662894,0.5185021985906368,22,10,0.06795743227952997,-0.039182905594022197,4,1,3,4,0,0,4,6,"Don't Look Up:6, KPop Demon Hunters:4, Apex:4",부정평/실망/과대평가
single,0.001434845837746554,1.0,22,10,0.06708023788314728,-0.06369484527595692,2,9,1,5,1,1,2,1,"Whiplash:9, Apex:5, KPop Demon Hunters:2",부정평/실망/과대평가
gonna,0.0014153983769038634,0.6875015295941951,20,10,0.08632443725866243,-0.06454828496612888,4,2,1,3,1,2,5,2,"Red Notice:5, KPop Demon Hunters:4, Apex:3",부정평/실망/과대평가
possible,0.0014062580025224905,0.4481036937955468,31,2,0.07392002992720509,-0.07558452886309723,3,5,8,6,4,1,0,4,"Everything Everywhere All at Once:8, Apex:6, Whiplash:5",부정평/실망/과대평가
budget,0.0013943844350775335,0.6251401060826568,24,2,0.07247113810882985,-0.06122948689452297,0,3,2,3,4,1,10,1,"Red Notice:10, F1 The Movie:4, Whiplash:3",부정평/실망/과대평가
person,0.0013647158578401694,0.3003174785214305,33,2,0.09188994248204854,-0.06203474457374031,4,6,7,6,5,1,2,2,"Everything Everywhere All at Once:7, Whiplash:6, Apex:6",부정평/실망/과대평가
laughed,0.0013641427006659212,0.5382016784486132,21,10,0.06800816773782033,-0.027858772735854465,2,0,6,1,2,3,5,2,"Everything Everywhere All at Once:6, Red Notice:5, GOAT:3",부정평/실망/과대평가
disappointed,0.001347645250845762,0.563782962776528,18,2,0.07442637726860825,-0.060182311925175536,1,0,2,1,3,1,6,4,"Red Notice:6, Don't Look Up:4, F1 The Movie:3",부정평/실망/과대평가
night,0.0013231400228680627,0.49674504474759046,26,2,0.08448716270433938,-0.020308782909107048,5,2,2,6,2,0,6,3,"Apex:6, Red Notice:6, KPop Demon Hunters:5",부정평/실망/과대평가
alright,0.0013228440398392407,0.8092734665440985,14,2,0.05125220245173562,0.015245348363119025,2,1,0,3,3,1,3,1,"Apex:3, F1 The Movie:3, Red Notice:3",부정평/실망/과대평가
piece,0.0013200049958602346,0.6017408332058823,22,13,0.05233580887371214,-0.026017270087434843,2,5,5,1,4,0,2,3,"Whiplash:5, Everything Everywhere All at Once:5, F1 The Movie:4",부정평/실망/과대평가
mess,0.0013072552785798868,0.5088728327754592,23,10,0.05792657954688411,-0.052179018080149596,0,2,15,0,1,0,3,2,"Everything Everywhere All at Once:15, Red Notice:3, Whiplash:2",부정평/실망/과대평가
tried,0.0013007061486333975,0.4667609033356115,22,13,0.056861475617481526,-0.0619697289332941,1,1,9,6,0,0,1,4,"Everything Everywhere All at Once:9, Apex:6, Don't Look Up:4",부정평/실망/과대평가
paid,0.0012969633846124469,0.4762129479932721,21,10,0.07391148057020411,-0.03793476394300803,0,0,2,4,3,1,7,4,"Red Notice:7, Apex:4, Don't Look Up:4",부정평/실망/과대평가
academy,0.0012817536862560796,0.6461840577841517,17,10,0.051112656202198736,-0.05583296729449053,0,1,9,2,2,0,1,2,"Everything Everywhere All at Once:9, Apex:2, F1 The Movie:2",부정평/실망/과대평가
honest,0.001275152162325273,0.5109655086910291,24,2,0.07333379086467182,-0.027473082004765892,7,1,2,3,4,2,2,3,"KPop Demon Hunters:7, F1 The Movie:4, Apex:3",부정평/실망/과대평가
cried,0.0012750523391786863,0.6885757112456603,16,10,0.052681173088520404,-0.019952673569376515,3,0,11,0,0,1,0,1,"Everything Everywhere All at Once:11, KPop Demon Hunters:3, GOAT:1",부정평/실망/과대평가
personally,0.0012736849845889058,0.5047076354023865,25,10,0.07037555447076055,-0.0464965572343574,4,3,3,4,2,4,2,3,"KPop Demon Hunters:4, Apex:4, GOAT:4",부정평/실망/과대평가
similar,0.0012622946451648106,0.4458459893845929,27,10,0.07282701023745396,-0.027021287337752015,3,6,4,2,5,1,1,5,"Whiplash:6, F1 The Movie:5, Don't Look Up:5",부정평/실망/과대평가
camera,0.0012588565779947897,0.36063172015677547,25,2,0.08416439338179371,-0.019689620124543214,0,4,3,5,9,0,3,1,"F1 The Movie:9, Apex:5, Whiplash:4",부정평/실망/과대평가
garbage,0.0012475146509160111,0.5537731923064529,19,10,0.053837937769562166,-0.05178357919371451,1,1,4,6,3,0,1,3,"Apex:6, Everything Everywhere All at Once:4, F1 The Movie:3",부정평/실망/과대평가
choice,0.0012371684027440186,0.714524988272703,24,2,0.06877348378953135,-0.02596037235075304,5,3,4,3,1,3,2,3,"KPop Demon Hunters:5, Everything Everywhere All at Once:4, Whiplash:3",부정평/실망/과대평가
complete,0.001232749040575108,0.6023280172822044,24,10,0.05607071072847736,-0.04661126559571709,1,4,7,2,3,1,4,2,"Everything Everywhere All at Once:7, Whiplash:4, Red Notice:4",부정평/실망/과대평가
nonsense,0.0012292884119564982,0.509830554981317,18,2,0.05043868212700927,-0.0457849512790148,0,0,7,5,5,0,0,1,"Everything Everywhere All at Once:7, Apex:5, F1 The Movie:5",부정평/실망/과대평가
wonder,0.001220370599674926,0.37155281815137886,26,10,0.06731104714850483,-0.04782948525752732,1,2,2,6,2,0,7,6,"Red Notice:7, Apex:6, Don't Look Up:6",부정평/실망/과대평가
talent,0.001212358891123192,0.6013814072850832,22,2,0.058838290062939974,-0.018750065872999364,0,4,0,2,4,2,5,5,"Red Notice:5, Don't Look Up:5, Whiplash:4",부정평/실망/과대평가
write,0.0012110742584280935,0.5501946638887508,19,2,0.06295125353755252,-0.03563327752202963,4,0,1,3,5,0,2,4,"F1 The Movie:5, KPop Demon Hunters:4, Don't Look Up:4",부정평/실망/과대평가
later,0.0011999827103471173,0.5917810839272114,23,2,0.06662575498129186,-0.038519204662230126,1,2,5,7,0,2,3,3,"Apex:7, Everything Everywhere All at Once:5, Red Notice:3",부정평/실망/과대평가
ago,0.0011795093317396536,0.4375923288713053,19,10,0.06343872208098877,-0.027487846650556553,3,7,1,2,2,2,1,1,"Whiplash:7, KPop Demon Hunters:3, Apex:2",부정평/실망/과대평가
worse,0.0011786621380277804,0.46702923046931816,21,2,0.06369532462603497,-0.056655225246171996,1,6,3,2,0,0,3,6,"Whiplash:6, Don't Look Up:6, Everything Everywhere All at Once:3",부정평/실망/과대평가
friend,0.0011779050694815238,0.5057905692626546,16,10,0.07924715257168848,-0.024623869056921422,2,2,2,3,2,3,2,0,"Apex:3, GOAT:3, KPop Demon Hunters:2",부정평/실망/과대평가
thank,0.0011711502724883122,1.0,17,10,0.05819359770316036,-0.0013640660187220954,3,5,1,2,1,2,0,3,"Whiplash:5, KPop Demon Hunters:3, Don't Look Up:3",부정평/실망/과대평가
straight,0.0011690748658815032,0.5460673228235061,18,10,0.06074447358226794,-0.015153581674963347,3,0,3,3,2,1,4,2,"Red Notice:4, KPop Demon Hunters:3, Everything Everywhere All at Once:3",부정평/실망/과대평가
heard,0.001164114861428582,0.5115646607507329,22,10,0.08187833293149795,-0.038466976850485585,9,2,2,2,2,2,2,1,"KPop Demon Hunters:9, Whiplash:2, Everything Everywhere All at Once:2",부정평/실망/과대평가
unexpected,0.0011528636025510675,0.7351108179874652,17,2,0.05768605827120139,-0.03714668424027596,1,2,3,3,2,0,5,1,"Red Notice:5, Everything Everywhere All at Once:3, Apex:3",부정평/실망/과대평가
nominated,0.0011488959291901274,0.6837559873153263,13,10,0.047545977903105885,-0.0587961320513068,0,0,2,0,5,0,0,6,"Don't Look Up:6, F1 The Movie:5, Everything Everywhere All at Once:2",부정평/실망/과대평가
hoping,0.001148802424996507,0.7413067478039075,14,13,0.08020524873848729,-0.02520297110225382,2,1,1,1,4,2,2,1,"F1 The Movie:4, KPop Demon Hunters:2, GOAT:2",부정평/실망/과대평가
cheap,0.0011397373508488834,0.965617268639421,15,2,0.05865095829294335,-0.030342271782518495,2,0,6,3,1,0,2,1,"Everything Everywhere All at Once:6, Apex:3, KPop Demon Hunters:2",부정평/실망/과대평가
fell,0.0011393792352442243,0.6181583163401495,17,13,0.054342796048016014,-0.03804124837783261,1,0,3,5,3,0,3,2,"Apex:5, Everything Everywhere All at Once:3, F1 The Movie:3",부정평/실망/과대평가
pay,0.0011387341519506838,0.5333174151543061,20,13,0.056835980256459535,-0.045200363499858266,1,2,6,1,1,1,4,4,"Everything Everywhere All at Once:6, Red Notice:4, Don't Look Up:4",부정평/실망/과대평가
past,0.0011277826326771172,0.3836246870531459,24,10,0.05994068224063819,-0.04317390431484521,1,5,5,2,6,1,2,2,"F1 The Movie:6, Whiplash:5, Everything Everywhere All at Once:5",부정평/실망/과대평가
version,0.0011223584952201676,0.7534579500895312,17,13,0.05098400580480502,0.002084367818457918,2,1,2,2,2,3,1,4,"Don't Look Up:4, GOAT:3, KPop Demon Hunters:2",부정평/실망/과대평가
wasted,0.0011200672268927329,0.6410298674654392,17,2,0.05708101815348747,-0.022298576322319824,0,1,4,1,1,0,4,6,"Don't Look Up:6, Everything Everywhere All at Once:4, Red Notice:4",부정평/실망/과대평가
ai,0.0011149512027732668,0.6412597024009342,19,13,0.043014489689170265,-0.0446990020695271,3,0,0,10,4,0,2,0,"Apex:10, F1 The Movie:4, KPop Demon Hunters:3",부정평/실망/과대평가
sucks,0.0011109985641597757,0.6122477926993137,13,10,0.06295944789339995,-0.014264510336640689,6,1,3,0,1,0,0,2,"KPop Demon Hunters:6, Everything Everywhere All at Once:3, Don't Look Up:2",부정평/실망/과대평가
positive,0.001102475705896468,0.6021086577125908,19,13,0.05931394112145511,-0.032125713070848896,1,2,7,1,3,4,0,1,"Everything Everywhere All at Once:7, GOAT:4, F1 The Movie:3",부정평/실망/과대평가
michelle,0.0010909933522497736,0.34304718284691965,23,10,0.052791169801286286,-0.032648977958933324,0,0,22,0,1,0,0,0,"Everything Everywhere All at Once:22, F1 The Movie:1",부정평/실망/과대평가
unfortunately,0.0010777856930945815,0.38326361416786253,23,2,0.06096532311920525,-0.025430411781319388,2,0,3,6,6,0,1,5,"Apex:6, F1 The Movie:6, Don't Look Up:5",부정평/실망/과대평가
tv,0.0010758173724816514,0.45808117801182446,19,10,0.047628180574296734,-0.02858249065743489,3,0,0,6,5,0,2,3,"Apex:6, F1 The Movie:5, KPop Demon Hunters:3",부정평/실망/과대평가
yeoh,0.0010580688525537632,0.3454342608614624,22,10,0.053731255599820976,-0.035332204183203764,0,0,22,0,0,0,0,0,Everything Everywhere All at Once:22,부정평/실망/과대평가
trash,0.0010462764922089833,0.7836100215132786,12,10,0.04112919741994994,-0.04465838069342276,1,0,3,5,0,1,0,2,"Apex:5, Everything Everywhere All at Once:3, Don't Look Up:2",부정평/실망/과대평가
hated,0.0010337980393857456,0.3799669975756093,17,10,0.06742874169889265,-0.03997641241221283,2,4,4,1,2,0,1,3,"Whiplash:4, Everything Everywhere All at Once:4, Don't Look Up:3",부정평/실망/과대평가
lame,0.001027921971004666,0.5828082149557383,12,13,0.038227055858799125,-0.023098246718008482,3,0,0,1,1,1,5,1,"Red Notice:5, KPop Demon Hunters:3, Apex:1",부정평/실망/과대평가
trailer,0.0010229349279858796,0.5109707290241491,14,10,0.07098813539068409,-0.04143620504641104,2,1,3,6,0,1,1,0,"Apex:6, Everything Everywhere All at Once:3, KPop Demon Hunters:2",부정평/실망/과대평가
potential,0.0010137400376764875,0.5531970955427304,18,2,0.06117526612986102,-0.017869422732803415,2,3,3,3,2,2,1,2,"Whiplash:3, Everything Everywhere All at Once:3, Apex:3",부정평/실망/과대평가
happened,0.0010077771778523156,0.794546692979432,15,10,0.05442545548297073,-0.03957039411315812,1,1,2,3,4,0,2,2,"F1 The Movie:4, Apex:3, Everything Everywhere All at Once:2",부정평/실망/과대평가
mark,0.0009954504596501599,0.5025629630171623,18,10,0.04236710106726112,-0.0449851027661062,0,4,1,1,1,0,2,9,"Don't Look Up:9, Whiplash:4, Red Notice:2",부정평/실망/과대평가
negative,0.0009893289190852045,0.5303101271948301,18,10,0.06917994151794259,-0.03291270542539025,1,4,4,4,1,1,0,3,"Whiplash:4, Everything Everywhere All at Once:4, Apex:4",부정평/실망/과대평가
points,0.000988011133267161,0.524478598768867,16,10,0.05935629527637089,-0.008778654205252309,0,0,1,3,1,2,2,7,"Don't Look Up:7, Apex:3, GOAT:2",부정평/실망/과대평가
lazy,0.000987844652435222,0.524876097151072,16,13,0.05087693224666105,-0.03770257386815505,0,0,0,10,0,1,4,1,"Apex:10, Red Notice:4, GOAT:1",부정평/실망/과대평가
award,0.0009714881150633079,0.46620036425677047,13,10,0.03910491621234467,-0.04000641387073755,1,2,5,1,1,1,1,1,"Everything Everywhere All at Once:5, Whiplash:2, KPop Demon Hunters:1",부정평/실망/과대평가
leo,0.0009704569996940463,0.5127866026071642,13,10,0.04966806127624009,-0.014125379737985548,0,1,0,0,0,0,0,12,"Don't Look Up:12, Whiplash:1",부정평/실망/과대평가
considering,0.0009651225224930614,0.526071703875544,13,10,0.055427229178212356,-0.044931968145447664,1,1,1,5,1,0,1,3,"Apex:5, Don't Look Up:3, KPop Demon Hunters:1",부정평/실망/과대평가
fairly,0.0009604529277263428,0.4778660348236299,15,13,0.04934427508744054,-0.028168408058553272,3,0,0,3,1,0,4,4,"Red Notice:4, Don't Look Up:4, KPop Demon Hunters:3",부정평/실망/과대평가
provoking,0.0009567087366426024,0.5734312010817655,16,10,0.03791175843266627,-0.023184036790376162,0,4,5,1,0,0,0,6,"Don't Look Up:6, Everything Everywhere All at Once:5, Whiplash:4",부정평/실망/과대평가
values,0.0009564193505154616,0.570119011811688,15,2,0.04131020244929181,-0.00874825790702481,1,0,1,0,3,5,1,4,"GOAT:5, Don't Look Up:4, F1 The Movie:3",부정평/실망/과대평가
tropes,0.0009507500920916673,0.6753606079374248,12,2,0.0436222164522868,-0.015119726891630755,1,0,0,3,5,1,2,0,"F1 The Movie:5, Apex:3, Red Notice:2",부정평/실망/과대평가
boy,0.0009471129989787494,0.5283115145509786,19,10,0.04988036895503148,-0.022993791253911045,9,1,2,1,1,2,0,3,"KPop Demon Hunters:9, Don't Look Up:3, Everything Everywhere All at Once:2",부정평/실망/과대평가
possibly,0.0009451581992238293,0.6063426975750259,12,10,0.034387787844785814,-0.044306178512795426,1,2,3,1,3,0,1,1,"Everything Everywhere All at Once:3, F1 The Movie:3, Whiplash:2",부정평/실망/과대평가
dead,0.0009448146731715083,0.48274644658615046,16,10,0.049784763213177756,-0.007043689725851256,1,3,1,5,2,0,1,3,"Apex:5, Whiplash:3, Don't Look Up:3",부정평/실망/과대평가
higher,0.000944721466402991,0.5145919175292623,15,10,0.04948021935535179,-0.036068367408075334,1,1,4,3,2,1,1,2,"Everything Everywhere All at Once:4, Apex:3, F1 The Movie:2",부정평/실망/과대평가
mother,0.0009405434695822954,0.4069531070278795,15,10,0.04305298118574973,-0.020118170870564812,1,0,11,0,2,1,0,0,"Everything Everywhere All at Once:11, F1 The Movie:2, KPop Demon Hunters:1",부정평/실망/과대평가
lines,0.0009399530208555205,0.35073462708054964,19,2,0.05821917123311019,-0.032649566347927754,0,2,0,2,3,0,5,7,"Don't Look Up:7, Red Notice:5, F1 The Movie:3",부정평/실망/과대평가
asleep,0.0009388516136700656,0.6572970503165487,11,13,0.03913154203686791,-0.032368834960010084,0,0,2,2,1,0,3,3,"Red Notice:3, Don't Look Up:3, Everything Everywhere All at Once:2",부정평/실망/과대평가
anymore,0.0009379694635993058,0.6443936685977244,15,10,0.03980198322464134,-0.04359163751923519,1,1,3,4,1,0,3,2,"Apex:4, Everything Everywhere All at Once:3, Red Notice:3",부정평/실망/과대평가
unless,0.000937002275948289,0.4209352764780203,20,2,0.05573531147865717,-0.05250164275259421,2,3,0,4,4,0,2,5,"Don't Look Up:5, Apex:4, F1 The Movie:4",부정평/실망/과대평가
kill,0.0009295460192924219,0.6744613641929216,16,13,0.04006785165044014,-0.04954854718795565,1,1,2,7,1,0,1,3,"Apex:7, Don't Look Up:3, Everything Everywhere All at Once:2",부정평/실망/과대평가
slop,0.000929183805103537,0.565327142040912,13,13,0.04208439653576149,-0.046468153115959726,4,0,0,8,0,0,1,0,"Apex:8, KPop Demon Hunters:4, Red Notice:1",부정평/실망/과대평가
execution,0.0009290409326332893,0.5153776348703754,17,2,0.045416968210228885,-0.02899136960098783,2,1,4,2,2,0,2,4,"Everything Everywhere All at Once:4, Don't Look Up:4, KPop Demon Hunters:2",부정평/실망/과대평가
admit,0.0009216832913242623,0.3978003940633128,16,2,0.06290508868357027,-0.03569007837006015,6,3,1,1,2,0,2,1,"KPop Demon Hunters:6, Whiplash:3, F1 The Movie:2",부정평/실망/과대평가
unoriginal,0.0009209315597303509,0.57360973668732,12,13,0.04192208414167924,-0.023973016180986392,1,0,0,3,4,1,3,0,"F1 The Movie:4, Apex:3, Red Notice:3",부정평/실망/과대평가
million,0.0009170610039831071,0.7207486160257176,11,2,0.03599143331886948,-0.02392643728879588,0,0,4,1,0,0,6,0,"Red Notice:6, Everything Everywhere All at Once:4, Apex:1",부정평/실망/과대평가
death,0.0009157084611590488,0.5230693638287426,15,13,0.03405661386242287,-0.035554108604047056,1,2,0,6,2,0,1,3,"Apex:6, Don't Look Up:3, Whiplash:2",부정평/실망/과대평가
crap,0.0009141525354576772,0.8157887402275213,13,10,0.04051432656713333,-0.03622797905702403,2,0,2,4,2,0,1,2,"Apex:4, KPop Demon Hunters:2, Everything Everywhere All at Once:2",부정평/실망/과대평가
hands,0.0009103457959577651,0.5109110368893585,13,10,0.0433719412072295,-0.04647034372312869,1,3,3,1,1,0,0,4,"Don't Look Up:4, Whiplash:3, Everything Everywhere All at Once:3",부정평/실망/과대평가
guys,0.000909240272725465,0.4089985631184521,14,2,0.06330843270677479,-0.028385658476799174,4,1,1,2,0,0,4,2,"KPop Demon Hunters:4, Red Notice:4, Apex:2",부정평/실망/과대평가
amazed,0.0009046170841673735,0.9690852061106566,10,10,0.04462028232584655,-0.031889690862724834,1,3,3,1,0,1,1,0,"Whiplash:3, Everything Everywhere All at Once:3, KPop Demon Hunters:1",부정평/실망/과대평가
slightly,0.0009030828467212472,0.6382436737766245,16,2,0.04709977934089582,-0.02749835170709607,1,1,1,1,2,0,3,7,"Don't Look Up:7, Red Notice:3, F1 The Movie:2",부정평/실망/과대평가
mindless,0.0008991603545115962,0.5454511745863228,10,13,0.043889693396534354,-0.011071325705434107,0,0,1,2,1,0,6,0,"Red Notice:6, Apex:2, Everything Everywhere All at Once:1",부정평/실망/과대평가
film,0.02684887964045636,1.0,656,3,1.5168502612787018,-1.139614992173415,51,125,102,70,90,48,57,113,"Whiplash:125, Don't Look Up:113, Everything Everywhere All at Once:102",스토리/플롯/각본
plot,0.013973022025338304,0.7994854914786128,319,7,0.8950578228093401,-0.24522223903385262,40,16,27,64,52,21,78,21,"Red Notice:78, Apex:64, F1 The Movie:52",스토리/플롯/각본
better,0.009150825379605808,0.8396651953715111,180,7,0.544761364048824,-0.34582063775650607,26,14,18,35,28,11,27,21,"Apex:35, F1 The Movie:28, Red Notice:27",스토리/플롯/각본
end,0.008877818224600192,0.6324784075448893,196,7,0.5154565849931781,-0.2144195091553201,9,25,29,30,25,8,31,39,"Don't Look Up:39, Red Notice:31, Apex:30",스토리/플롯/각본
didn,0.008520975999303168,0.5702866795368475,176,7,0.556472510722303,-0.29886361920164134,13,9,27,26,31,19,20,31,"F1 The Movie:31, Don't Look Up:31, Everything Everywhere All at Once:27",스토리/플롯/각본
character,0.007941808244044798,0.4922311530507215,206,3,0.49931871166495334,-0.17561277051335164,21,37,10,45,38,20,12,23,"Apex:45, F1 The Movie:38, Whiplash:37",스토리/플롯/각본
feel,0.007881279652105326,0.7849337658900042,193,3,0.5746608483881527,-0.21754060853973664,17,30,23,15,48,26,14,20,"F1 The Movie:48, Whiplash:30, GOAT:26",스토리/플롯/각본
ending,0.007775534330289679,0.7580731214445265,137,7,0.4815394575796589,-0.06651964854550196,7,35,12,19,7,6,20,31,"Whiplash:35, Don't Look Up:31, Red Notice:20",스토리/플롯/각본
little,0.007026862316967158,0.47361842661329645,140,7,0.43977040610110846,-0.059209214173080636,22,13,11,18,18,25,14,19,"GOAT:25, KPop Demon Hunters:22, Don't Look Up:19",스토리/플롯/각본
lot,0.006120370946425977,0.5348490873312908,142,7,0.4247262037923449,-0.08324670397189594,13,15,25,18,13,15,20,23,"Everything Everywhere All at Once:25, Don't Look Up:23, Red Notice:20",스토리/플롯/각본
bit,0.005888519628204842,0.431092662411083,124,7,0.33798032008278694,-0.13048196062591982,11,10,14,25,16,14,18,16,"Apex:25, Red Notice:18, F1 The Movie:16",스토리/플롯/각본
felt,0.005789436353642699,0.4436567257318388,120,7,0.38619028987759874,-0.18272336456583596,11,17,18,16,26,13,10,9,"F1 The Movie:26, Everything Everywhere All at Once:18, Whiplash:17",스토리/플롯/각본
interesting,0.005706552245929542,0.7699521533063329,109,7,0.3770811687689941,-0.09547706808243978,8,11,17,23,15,8,13,14,"Apex:23, Everything Everywhere All at Once:17, F1 The Movie:15",스토리/플롯/각본
overall,0.005595720239542587,0.4924197234682134,132,7,0.42524922637775764,-0.10709886088731911,21,12,9,14,21,22,16,17,"GOAT:22, KPop Demon Hunters:21, F1 The Movie:21",스토리/플롯/각본
makes,0.005568182730591144,0.5139616176588913,135,3,0.36020037391872284,-0.16122366953540815,13,25,17,20,17,10,14,19,"Whiplash:25, Apex:20, Don't Look Up:19",스토리/플롯/각본
liked,0.0055465616121011495,0.6445745058865611,85,7,0.35784701492741505,-0.12878363435658463,12,5,6,11,13,19,7,12,"GOAT:19, F1 The Movie:13, KPop Demon Hunters:12",스토리/플롯/각본
hard,0.00547455684576695,0.5400906575801834,126,3,0.2999462703378034,-0.12116244533017552,10,25,23,14,11,12,10,21,"Whiplash:25, Everything Everywhere All at Once:23, Don't Look Up:21",스토리/플롯/각본
does,0.005262108473252323,0.9915821152988512,122,3,0.3251199031865984,-0.10043755966996369,6,21,16,19,11,10,22,17,"Red Notice:22, Whiplash:21, Apex:19",스토리/플롯/각본
quite,0.005023615916910678,0.7245006739486471,101,7,0.2917932671761292,-0.17003302776657062,10,16,14,12,14,3,16,16,"Whiplash:16, Red Notice:16, Don't Look Up:16",스토리/플롯/각본
minutes,0.004982737179651782,0.6365270120096322,104,7,0.27455597559952605,-0.18524510366308336,10,12,12,21,17,3,11,18,"Apex:21, Don't Look Up:18, F1 The Movie:17",스토리/플롯/각본
work,0.004935859386893812,0.6315111360410708,106,3,0.25964380393268094,-0.04345041456761701,6,23,15,23,10,10,7,12,"Whiplash:23, Apex:23, Everything Everywhere All at Once:15",스토리/플롯/각본
doesn,0.0047577117637463695,0.4062524484623133,110,3,0.30071614797920104,-0.1445685438245575,5,21,16,18,10,6,16,18,"Whiplash:21, Apex:18, Don't Look Up:18",스토리/플롯/각본
enjoy,0.0047071633868239005,0.7483859265815966,91,7,0.29535966656350315,-0.11874380430543359,11,3,7,7,17,10,17,19,"Don't Look Up:19, F1 The Movie:17, Red Notice:17",스토리/플롯/각본
scene,0.004559181244686302,0.6034512978472703,95,3,0.25147558798490977,-0.16398313904800801,5,20,10,25,11,5,8,11,"Apex:25, Whiplash:20, F1 The Movie:11",스토리/플롯/각본
cinematography,0.004555887386417298,0.5572622067950183,93,3,0.29350370618866334,-0.098747505762673,0,24,17,19,26,1,2,4,"F1 The Movie:26, Whiplash:24, Apex:19",스토리/플롯/각본
kind,0.004380617597667786,0.6895273834953738,89,7,0.30138489077720587,-0.16087133167666043,10,9,10,13,14,9,10,14,"F1 The Movie:14, Don't Look Up:14, Apex:13",스토리/플롯/각본
moments,0.004337124833858346,0.45095156186525254,99,3,0.27362093092657713,-0.06546907893333831,12,4,15,15,12,17,11,13,"GOAT:17, Everything Everywhere All at Once:15, Apex:15",스토리/플롯/각본
right,0.0043313092504963565,0.6251073993253201,96,7,0.22822210081084787,-0.12795321368428042,8,10,12,16,17,2,13,18,"Don't Look Up:18, F1 The Movie:17, Apex:16",스토리/플롯/각본
wasn,0.00429038031991011,0.596081546098382,81,7,0.27413307525020336,-0.10505464861053813,8,9,9,9,15,8,13,10,"F1 The Movie:15, Red Notice:13, Don't Look Up:10",스토리/플롯/각본
ll,0.004196442661051126,0.7745779909018078,79,7,0.22633255201144578,-0.14545142293389865,3,10,19,7,10,7,11,12,"Everything Everywhere All at Once:19, Don't Look Up:12, Red Notice:11",스토리/플롯/각본
fast,0.004010177397189671,0.6512296124199821,78,3,0.23280310294385823,-0.057195480641328164,6,5,11,7,15,11,16,7,"Red Notice:16, F1 The Movie:15, Everything Everywhere All at Once:11",스토리/플롯/각본
isn,0.003990640523752955,0.47721653509776324,83,3,0.23562575606418001,-0.14810216030127463,5,13,9,15,10,9,9,13,"Apex:15, Whiplash:13, Don't Look Up:13",스토리/플롯/각본
different,0.003752657220978298,0.5819894880426416,72,7,0.2408123984454182,-0.057183980472271655,6,8,24,3,9,9,7,6,"Everything Everywhere All at Once:24, F1 The Movie:9, GOAT:9",스토리/플롯/각본
twist,0.00373931264762573,0.7226436961746312,51,7,0.2309969573625889,-0.07155451120095557,0,0,3,7,1,4,36,0,"Red Notice:36, Apex:7, GOAT:4",스토리/플롯/각본
especially,0.0037166770428818173,0.5684889959473114,84,3,0.2281177975026858,-0.06370696407683378,17,10,4,11,8,12,4,18,"Don't Look Up:18, KPop Demon Hunters:17, GOAT:12",스토리/플롯/각본
expected,0.0034463500539455164,0.7925943435650268,52,7,0.1946560622114404,-0.05239615009193805,10,2,5,8,10,6,6,5,"KPop Demon Hunters:10, F1 The Movie:10, Apex:8",스토리/플롯/각본
feels,0.0033011193216031095,0.39406623176851896,82,3,0.20633273058297377,-0.11829660427805203,16,9,9,11,13,5,11,8,"KPop Demon Hunters:16, F1 The Movie:13, Apex:11",스토리/플롯/각본
solid,0.0031537239871717547,0.5465354634162819,55,3,0.19355391169086641,-0.0380212158498641,3,5,2,13,14,9,7,2,"F1 The Movie:14, Apex:13, GOAT:9",스토리/플롯/각본
decent,0.003118453836414061,0.7552217002253098,47,7,0.19358125606581025,-0.030932848819548296,9,1,0,13,6,3,10,5,"Apex:13, Red Notice:10, KPop Demon Hunters:9",스토리/플롯/각본
gets,0.003057500403764279,0.5207822025937281,60,7,0.14789143711433764,-0.11374799145537386,2,5,10,14,7,5,8,9,"Apex:14, Everything Everywhere All at Once:10, Don't Look Up:9",스토리/플롯/각본
wanted,0.0030402918381391276,0.5798410724408756,49,7,0.21639894279058994,-0.0912496711672988,6,4,8,4,8,8,6,5,"Everything Everywhere All at Once:8, F1 The Movie:8, GOAT:8",스토리/플롯/각본
maybe,0.0028566291957983214,0.7337645524222369,53,7,0.15092934000215874,-0.07640893270111529,5,9,7,8,6,5,3,10,"Don't Look Up:10, Whiplash:9, Apex:8",스토리/플롯/각본
new,0.0028435405343760004,0.6884223894787328,59,3,0.14241004975967395,-0.034888005940828457,6,8,7,10,6,6,9,7,"Apex:10, Red Notice:9, Whiplash:8",스토리/플롯/각본
