term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
theme,0.0015562108027323601,0.5681961541950961,25,6,0.08917357847555804,-0.035621080244490996,1,6,4,2,4,4,0,4,"Whiplash:6, Everything Everywhere All at Once:4, F1 The Movie:4",평가/추천/강한 호평
curry,0.0015445890622629527,0.6434491433309348,21,6,0.09608208400057268,0.03603389294435423,0,0,0,0,0,21,0,0,GOAT:21,평가/추천/강한 호평
glad,0.0015139636951079275,0.6807559986977172,20,0,0.07481039396385902,-0.04851455972554366,6,4,0,1,0,2,3,4,"KPop Demon Hunters:6, Whiplash:4, Don't Look Up:4",평가/추천/강한 호평
blast,0.0015096608756735286,1.0,13,0,0.0486523046393536,0.014865046759106836,6,0,0,1,1,2,2,1,"KPop Demon Hunters:6, GOAT:2, Red Notice:2",평가/추천/강한 호평
friends,0.0014922971168071304,0.4756183162522882,26,5,0.09357759204003738,-0.011940150126827418,5,2,3,3,0,7,3,3,"GOAT:7, KPop Demon Hunters:5, Everything Everywhere All at Once:3",평가/추천/강한 호평
drive,0.001464854841204315,1.0,23,5,0.06383022249774994,-0.036065747620360335,1,8,0,2,8,1,1,2,"Whiplash:8, F1 The Movie:8, Apex:2",평가/추천/강한 호평
telling,0.0014631594184833913,0.48566127566018336,25,5,0.08269249675181924,-0.013959177096607371,5,4,8,1,3,0,0,4,"Everything Everywhere All at Once:8, KPop Demon Hunters:5, Whiplash:4",평가/추천/강한 호평
thoroughly,0.0014419702878110544,0.8340267486742442,18,0,0.05934207562813899,-0.008266471708875902,0,5,0,3,5,2,0,3,"Whiplash:5, F1 The Movie:5, Apex:3",평가/추천/강한 호평
showing,0.00142871480033869,0.4139635621066291,24,0,0.08683687960387225,0.0022006304313178285,3,2,1,1,6,6,3,2,"F1 The Movie:6, GOAT:6, KPop Demon Hunters:3",평가/추천/강한 호평
small,0.0014036460530618697,0.5081954220936558,26,6,0.08318901157719591,-0.021157623360065596,1,2,3,4,2,12,1,1,"GOAT:12, Apex:4, Everything Everywhere All at Once:3",평가/추천/강한 호평
run,0.0013882607513619853,0.5081954220936558,26,0,0.07260478644119736,-0.01741846418642399,1,2,0,8,2,7,1,5,"Apex:8, GOAT:7, Don't Look Up:5",평가/추천/강한 호평
light,0.0013857987760682315,0.6417761392131982,21,6,0.06897477716747259,-0.028172955019481957,2,2,0,3,1,1,6,6,"Red Notice:6, Don't Look Up:6, Apex:3",평가/추천/강한 호평
multiple,0.0013733378641510845,0.5687643465986267,25,6,0.07853792056639392,-0.06319499713216445,1,2,9,5,4,2,1,1,"Everything Everywhere All at Once:9, Apex:5, F1 The Movie:4",평가/추천/강한 호평
sit,0.0013700441939599058,0.5577741396744905,19,0,0.08233260248520095,-0.02297260474283791,1,3,3,2,3,2,5,0,"Red Notice:5, Whiplash:3, Everything Everywhere All at Once:3",평가/추천/강한 호평
follow,0.001358307137240693,0.4841308466474644,26,5,0.09817135055255097,-0.019984224766087917,2,2,8,4,1,3,2,4,"Everything Everywhere All at Once:8, Apex:4, Don't Look Up:4",평가/추천/강한 호평
casting,0.0013465129358168056,0.6696173622915148,21,6,0.08964702559510798,0.01227617594529819,0,2,2,3,5,3,1,5,"F1 The Movie:5, Don't Look Up:5, Apex:3",평가/추천/강한 호평
leave,0.001334132025279492,0.4270230686071516,22,0,0.06875263745786273,-0.00949193891724578,2,5,3,0,3,3,5,1,"Whiplash:5, Red Notice:5, Everything Everywhere All at Once:3",평가/추천/강한 호평
popcorn,0.001332218418639446,0.5114429129508962,21,6,0.09766406786533868,-0.008803240033297318,2,0,2,4,6,0,7,0,"Red Notice:7, F1 The Movie:6, Apex:4",평가/추천/강한 호평
wife,0.0013255987123381558,0.8319585627277079,19,0,0.06617401230782421,-0.020990359435790185,1,0,6,4,3,1,1,3,"Everything Everywhere All at Once:6, Apex:4, F1 The Movie:3",평가/추천/강한 호평
moral,0.001312454036670389,0.6263502260065118,18,6,0.10312691279143613,0.035983717534097556,1,5,2,0,0,7,0,3,"GOAT:7, Whiplash:5, Don't Look Up:3",평가/추천/강한 호평
basic,0.0013085765788748165,0.6020056053641603,21,6,0.08060587969621448,-0.026744005683568814,1,1,1,4,5,4,5,0,"F1 The Movie:5, Red Notice:5, Apex:4",평가/추천/강한 호평
compelling,0.0013055593116019124,0.544358550919848,26,5,0.06894807013034115,-0.00788559015596337,2,8,3,2,4,3,1,3,"Whiplash:8, F1 The Movie:4, Everything Everywhere All at Once:3",평가/추천/강한 호평
age,0.0012993159086884564,0.7566324084259528,22,6,0.07217479695389942,-0.00647025320022801,7,3,0,1,2,5,1,3,"KPop Demon Hunters:7, GOAT:5, Whiplash:3",평가/추천/강한 호평
familiar,0.0012956224762572747,0.6184922888311875,24,6,0.0761913603029318,0.027090747241695176,1,3,0,3,6,5,4,2,"F1 The Movie:6, GOAT:5, Red Notice:4",평가/추천/강한 호평
rewatch,0.001278953706751422,0.5129720607127755,16,5,0.07411075921526575,-0.019594613794250648,0,4,6,0,2,2,1,1,"Everything Everywhere All at Once:6, Whiplash:4, F1 The Movie:2",평가/추천/강한 호평
storytelling,0.0012766757633352807,0.6964461665548233,23,5,0.05824209735348965,0.0015948268471516797,0,2,7,0,3,5,2,4,"Everything Everywhere All at Once:7, GOAT:5, Don't Look Up:4",평가/추천/강한 호평
engaged,0.0012623632469815976,0.63846345412052,17,5,0.058946914117026225,-0.020380146771534588,2,3,2,3,3,1,0,3,"Whiplash:3, Apex:3, F1 The Movie:3",평가/추천/강한 호평
sci,0.0012450806974908376,0.4101323140534882,22,6,0.08288194116632537,-0.007481930742979212,0,0,15,0,0,0,0,7,"Everything Everywhere All at Once:15, Don't Look Up:7",평가/추천/강한 호평
formulaic,0.0012407684950517135,0.5368898059602876,19,6,0.052066712998030784,-0.027328930322896544,1,0,0,2,10,3,3,0,"F1 The Movie:10, GOAT:3, Red Notice:3",평가/추천/강한 호평
gorgeous,0.0012226321364851311,0.6931477883389908,17,6,0.06684738242747565,0.01064922091034089,3,0,0,6,1,3,3,1,"Apex:6, KPop Demon Hunters:3, GOAT:3",평가/추천/강한 호평
loves,0.0012099756087701067,0.44766903743567027,16,0,0.0816245108607226,-0.02150718262934639,3,2,1,0,4,3,3,0,"F1 The Movie:4, KPop Demon Hunters:3, GOAT:3",평가/추천/강한 호평
lessons,0.0012061041741568527,0.5191602382610929,15,0,0.06514445892629686,0.04757241725213408,0,0,2,0,2,11,0,0,"GOAT:11, Everything Everywhere All at Once:2, F1 The Movie:2",평가/추천/강한 호평
beautifully,0.0012002248801071217,0.49799139816815946,19,5,0.06525946532664477,-0.023040707603201756,0,5,5,2,4,3,0,0,"Whiplash:5, Everything Everywhere All at Once:5, F1 The Movie:4",평가/추천/강한 호평
hooked,0.0011872428075875266,0.564437898746652,15,5,0.0558310545722903,-0.016198404958866548,3,4,1,2,3,0,0,2,"Whiplash:4, KPop Demon Hunters:3, F1 The Movie:3",평가/추천/강한 호평
notch,0.0011832567225972474,0.8595591238054024,13,5,0.06324464009476785,-0.0007670905523959156,0,2,2,2,2,3,0,2,"GOAT:3, Whiplash:2, Everything Everywhere All at Once:2",평가/추천/강한 호평
aspect,0.0011680274587404951,0.6291161915740177,15,6,0.06702550546018324,-0.016282060749943695,2,3,3,2,1,1,1,2,"Whiplash:3, Everything Everywhere All at Once:3, KPop Demon Hunters:2",평가/추천/강한 호평
heartfelt,0.0011655005401165432,0.7578838775669114,16,6,0.08258860555858374,0.01891246925765438,1,0,2,0,2,11,0,0,"GOAT:11, Everything Everywhere All at Once:2, F1 The Movie:2",평가/추천/강한 호평
filled,0.001155376277120259,0.47730362774890056,20,6,0.06062859765122989,-0.03169136015795672,3,1,4,3,2,3,3,1,"Everything Everywhere All at Once:4, KPop Demon Hunters:3, Apex:3",평가/추천/강한 호평
fi,0.0011507940648779929,0.3875096190888766,21,6,0.0743456613310276,-0.0015553832969745537,0,0,15,0,0,0,0,6,"Everything Everywhere All at Once:15, Don't Look Up:6",평가/추천/강한 호평
graphics,0.001147245507849936,0.589339287279623,13,5,0.0852986361765154,0.0727787286517216,1,0,0,2,2,8,0,0,"GOAT:8, Apex:2, F1 The Movie:2",평가/추천/강한 호평
lacking,0.0011368643991005488,0.5543543892556512,17,6,0.06341112408433743,-0.019561847370885718,2,0,2,4,1,2,3,3,"Apex:4, Red Notice:3, Don't Look Up:3",평가/추천/강한 호평
executed,0.0011195860739453627,0.54293816181983,15,6,0.059667529963374884,-0.009293990729170552,0,0,6,2,4,2,0,1,"Everything Everywhere All at Once:6, F1 The Movie:4, Apex:2",평가/추천/강한 호평
title,0.0011170257521095036,0.6707321954974128,20,5,0.06392323861647858,-0.040085884835409584,6,0,8,2,1,0,1,2,"Everything Everywhere All at Once:8, KPop Demon Hunters:6, Apex:2",평가/추천/강한 호평
saying,0.0011158580811424115,0.3822272786413707,23,6,0.06923428139234956,-0.036253084629314924,1,3,3,3,4,3,1,5,"Don't Look Up:5, F1 The Movie:4, Whiplash:3",평가/추천/강한 호평
messages,0.0011106300808327106,0.772769250387545,13,6,0.07084717522577533,0.016709575831837922,1,1,4,1,0,3,0,3,"Everything Everywhere All at Once:4, GOAT:3, Don't Look Up:3",평가/추천/강한 호평
events,0.0011016723887065628,0.7399676375707211,17,6,0.05941412533357252,-0.0031232932994865893,1,1,1,2,2,0,2,8,"Don't Look Up:8, Apex:2, F1 The Movie:2",평가/추천/강한 호평
inspirational,0.0010936989838904118,0.7980149826450497,9,0,0.06359342440159364,0.02470085516102874,0,3,0,0,0,6,0,0,"GOAT:6, Whiplash:3",평가/추천/강한 호평
tries,0.0010914913822971729,0.43838525928220656,20,6,0.054591414524884876,-0.029782573363460057,2,1,1,4,1,4,3,4,"Apex:4, GOAT:4, Don't Look Up:4",평가/추천/강한 호평
mention,0.0010854335428450432,0.5194598390365546,18,5,0.06531013803763452,-0.036709943508397035,4,1,4,1,4,2,2,0,"KPop Demon Hunters:4, Everything Everywhere All at Once:4, F1 The Movie:4",평가/추천/강한 호평
complex,0.001082813137652815,0.679594888742572,20,5,0.06289211930408062,-0.019056084018646047,0,7,8,2,1,2,0,0,"Everything Everywhere All at Once:8, Whiplash:7, Apex:2",평가/추천/강한 호평
list,0.0010746367778468723,0.7892143758081822,15,5,0.04907897112880661,-0.017857895281831945,0,4,3,1,0,2,2,3,"Whiplash:4, Everything Everywhere All at Once:3, Don't Look Up:3",평가/추천/강한 호평
jones,0.0010457108302662143,0.5200031915605324,15,6,0.04764757432603114,0.023586838241323647,0,0,2,1,0,0,12,0,"Red Notice:12, Everything Everywhere All at Once:2, Apex:1",평가/추천/강한 호평
animals,0.0010350678593029907,0.5201664976763596,13,6,0.06684916007560197,-0.008963216484411332,1,0,0,0,1,11,0,0,"GOAT:11, KPop Demon Hunters:1, F1 The Movie:1",평가/추천/강한 호평
purpose,0.0010126809901472788,1.0,16,5,0.049810721027340105,-0.015419295555579275,1,3,6,1,1,2,1,1,"Everything Everywhere All at Once:6, Whiplash:3, GOAT:2",평가/추천/강한 호평
didnt,0.0009953417251148656,0.5538798895150341,14,0,0.05442796308765598,-0.015298999719373135,3,0,2,4,0,3,1,1,"Apex:4, KPop Demon Hunters:3, GOAT:3",평가/추천/강한 호평
